,path,emotion
0,dataset/AudioWAV/angry\1001_DFA_ANG_XX.wav,angry
1,dataset/AudioWAV/angry\1001_IEO_ANG_HI.wav,angry
2,dataset/AudioWAV/angry\1001_IEO_ANG_LO.wav,angry
3,dataset/AudioWAV/angry\1001_IEO_ANG_MD.wav,angry
4,dataset/AudioWAV/angry\1001_IOM_ANG_XX.wav,angry
5,dataset/AudioWAV/angry\1001_ITH_ANG_XX.wav,angry
6,dataset/AudioWAV/angry\1001_ITS_ANG_XX.wav,angry
7,dataset/AudioWAV/angry\1001_IWL_ANG_XX.wav,angry
8,dataset/AudioWAV/angry\1001_IWW_ANG_XX.wav,angry
9,dataset/AudioWAV/angry\1001_MTI_ANG_XX.wav,angry
10,dataset/AudioWAV/angry\1001_TAI_ANG_XX.wav,angry
11,dataset/AudioWAV/angry\1001_TIE_ANG_XX.wav,angry
12,dataset/AudioWAV/angry\1001_TSI_ANG_XX.wav,angry
13,dataset/AudioWAV/angry\1001_WSI_ANG_XX.wav,angry
14,dataset/AudioWAV/angry\1002_DFA_ANG_XX.wav,angry
15,dataset/AudioWAV/angry\1002_IEO_ANG_HI.wav,angry
16,dataset/AudioWAV/angry\1002_IEO_ANG_LO.wav,angry
17,dataset/AudioWAV/angry\1002_IEO_ANG_MD.wav,angry
18,dataset/AudioWAV/angry\1002_IOM_ANG_XX.wav,angry
19,dataset/AudioWAV/angry\1002_ITH_ANG_XX.wav,angry
20,dataset/AudioWAV/angry\1002_ITS_ANG_XX.wav,angry
21,dataset/AudioWAV/angry\1002_IWL_ANG_XX.wav,angry
22,dataset/AudioWAV/angry\1002_IWW_ANG_XX.wav,angry
23,dataset/AudioWAV/angry\1002_MTI_ANG_XX.wav,angry
24,dataset/AudioWAV/angry\1002_TAI_ANG_XX.wav,angry
25,dataset/AudioWAV/angry\1002_TIE_ANG_XX.wav,angry
26,dataset/AudioWAV/angry\1002_TSI_ANG_XX.wav,angry
27,dataset/AudioWAV/angry\1002_WSI_ANG_XX.wav,angry
28,dataset/AudioWAV/angry\1003_DFA_ANG_XX.wav,angry
29,dataset/AudioWAV/angry\1003_IEO_ANG_HI.wav,angry
30,dataset/AudioWAV/angry\1003_IEO_ANG_LO.wav,angry
31,dataset/AudioWAV/angry\1003_IEO_ANG_MD.wav,angry
32,dataset/AudioWAV/angry\1003_IOM_ANG_XX.wav,angry
33,dataset/AudioWAV/angry\1003_ITH_ANG_XX.wav,angry
34,dataset/AudioWAV/angry\1003_ITS_ANG_XX.wav,angry
35,dataset/AudioWAV/angry\1003_IWL_ANG_XX.wav,angry
36,dataset/AudioWAV/angry\1003_IWW_ANG_XX.wav,angry
37,dataset/AudioWAV/angry\1003_MTI_ANG_XX.wav,angry
38,dataset/AudioWAV/angry\1003_TAI_ANG_XX.wav,angry
39,dataset/AudioWAV/angry\1003_TIE_ANG_XX.wav,angry
40,dataset/AudioWAV/angry\1003_TSI_ANG_XX.wav,angry
41,dataset/AudioWAV/angry\1003_WSI_ANG_XX.wav,angry
42,dataset/AudioWAV/angry\1004_DFA_ANG_XX.wav,angry
43,dataset/AudioWAV/angry\1004_IEO_ANG_HI.wav,angry
44,dataset/AudioWAV/angry\1004_IEO_ANG_LO.wav,angry
45,dataset/AudioWAV/angry\1004_IEO_ANG_MD.wav,angry
46,dataset/AudioWAV/angry\1004_IOM_ANG_XX.wav,angry
47,dataset/AudioWAV/angry\1004_ITH_ANG_XX.wav,angry
48,dataset/AudioWAV/angry\1004_ITS_ANG_XX.wav,angry
49,dataset/AudioWAV/angry\1004_IWL_ANG_XX.wav,angry
50,dataset/AudioWAV/angry\1004_IWW_ANG_XX.wav,angry
51,dataset/AudioWAV/angry\1004_MTI_ANG_XX.wav,angry
52,dataset/AudioWAV/angry\1004_TAI_ANG_XX.wav,angry
53,dataset/AudioWAV/angry\1004_TIE_ANG_XX.wav,angry
54,dataset/AudioWAV/angry\1004_TSI_ANG_XX.wav,angry
55,dataset/AudioWAV/angry\1004_WSI_ANG_XX.wav,angry
56,dataset/AudioWAV/angry\1005_DFA_ANG_XX.wav,angry
57,dataset/AudioWAV/angry\1005_IEO_ANG_HI.wav,angry
58,dataset/AudioWAV/angry\1005_IEO_ANG_LO.wav,angry
59,dataset/AudioWAV/angry\1005_IEO_ANG_MD.wav,angry
60,dataset/AudioWAV/angry\1005_IOM_ANG_XX.wav,angry
61,dataset/AudioWAV/angry\1005_ITH_ANG_XX.wav,angry
62,dataset/AudioWAV/angry\1005_ITS_ANG_XX.wav,angry
63,dataset/AudioWAV/angry\1005_IWL_ANG_XX.wav,angry
64,dataset/AudioWAV/angry\1005_IWW_ANG_XX.wav,angry
65,dataset/AudioWAV/angry\1005_MTI_ANG_XX.wav,angry
66,dataset/AudioWAV/angry\1005_TAI_ANG_XX.wav,angry
67,dataset/AudioWAV/angry\1005_TIE_ANG_XX.wav,angry
68,dataset/AudioWAV/angry\1005_TSI_ANG_XX.wav,angry
69,dataset/AudioWAV/angry\1005_WSI_ANG_XX.wav,angry
70,dataset/AudioWAV/angry\1006_DFA_ANG_XX.wav,angry
71,dataset/AudioWAV/angry\1006_IEO_ANG_HI.wav,angry
72,dataset/AudioWAV/angry\1006_IEO_ANG_LO.wav,angry
73,dataset/AudioWAV/angry\1006_IEO_ANG_MD.wav,angry
74,dataset/AudioWAV/angry\1006_IOM_ANG_XX.wav,angry
75,dataset/AudioWAV/angry\1006_ITH_ANG_XX.wav,angry
76,dataset/AudioWAV/angry\1006_ITS_ANG_XX.wav,angry
77,dataset/AudioWAV/angry\1006_IWL_ANG_XX.wav,angry
78,dataset/AudioWAV/angry\1006_IWW_ANG_XX.wav,angry
79,dataset/AudioWAV/angry\1006_MTI_ANG_XX.wav,angry
80,dataset/AudioWAV/angry\1006_TAI_ANG_XX.wav,angry
81,dataset/AudioWAV/angry\1006_TIE_ANG_XX.wav,angry
82,dataset/AudioWAV/angry\1006_TSI_ANG_XX.wav,angry
83,dataset/AudioWAV/angry\1006_WSI_ANG_XX.wav,angry
84,dataset/AudioWAV/angry\1007_DFA_ANG_XX.wav,angry
85,dataset/AudioWAV/angry\1007_IEO_ANG_HI.wav,angry
86,dataset/AudioWAV/angry\1007_IEO_ANG_LO.wav,angry
87,dataset/AudioWAV/angry\1007_IEO_ANG_MD.wav,angry
88,dataset/AudioWAV/angry\1007_IOM_ANG_XX.wav,angry
