,path,emotion
0,dataset/TESS/angry\OAF_back_angry.wav,angry
1,dataset/TESS/angry\OAF_bar_angry.wav,angry
2,dataset/TESS/angry\OAF_base_angry.wav,angry
3,dataset/TESS/angry\OAF_bath_angry.wav,angry
4,dataset/TESS/angry\OAF_bean_angry.wav,angry
5,dataset/TESS/angry\OAF_beg_angry.wav,angry
6,dataset/TESS/angry\OAF_bite_angry.wav,angry
7,dataset/TESS/angry\OAF_boat_angry.wav,angry
8,dataset/TESS/angry\OAF_bone_angry.wav,angry
9,dataset/TESS/angry\OAF_book_angry.wav,angry
10,dataset/TESS/angry\OAF_bought_angry.wav,angry
11,dataset/TESS/angry\OAF_burn_angry.wav,angry
12,dataset/TESS/angry\OAF_cab_angry.wav,angry
13,dataset/TESS/angry\OAF_calm_angry.wav,angry
14,dataset/TESS/angry\OAF_came_angry.wav,angry
15,dataset/TESS/angry\OAF_cause_angry.wav,angry
16,dataset/TESS/angry\OAF_chain_angry.wav,angry
17,dataset/TESS/angry\OAF_chair_angry.wav,angry
18,dataset/TESS/angry\OAF_chalk_angry.wav,angry
19,dataset/TESS/angry\OAF_chat_angry.wav,angry
20,dataset/TESS/angry\OAF_check_angry.wav,angry
21,dataset/TESS/angry\OAF_cheek_angry.wav,angry
22,dataset/TESS/angry\OAF_chief_angry.wav,angry
23,dataset/TESS/angry\OAF_choice_angry.wav,angry
24,dataset/TESS/angry\OAF_cool_angry.wav,angry
25,dataset/TESS/angry\OAF_dab_angry.wav,angry
26,dataset/TESS/angry\OAF_date_angry.wav,angry
27,dataset/TESS/angry\OAF_dead_angry.wav,angry
28,dataset/TESS/angry\OAF_death_angry.wav,angry
29,dataset/TESS/angry\OAF_deep_angry.wav,angry
30,dataset/TESS/angry\OAF_dime_angry.wav,angry
31,dataset/TESS/angry\OAF_dip_angry.wav,angry
32,dataset/TESS/angry\OAF_ditch_angry.wav,angry
33,dataset/TESS/angry\OAF_dodge_angry.wav,angry
34,dataset/TESS/angry\OAF_dog_angry.wav,angry
35,dataset/TESS/angry\OAF_doll_angry.wav,angry
36,dataset/TESS/angry\OAF_door_angry.wav,angry
37,dataset/TESS/angry\OAF_fail_angry.wav,angry
38,dataset/TESS/angry\OAF_fall_angry.wav,angry
39,dataset/TESS/angry\OAF_far_angry.wav,angry
40,dataset/TESS/angry\OAF_fat_angry.wav,angry
41,dataset/TESS/angry\OAF_fit_angry.wav,angry
42,dataset/TESS/angry\OAF_five_angry.wav,angry
43,dataset/TESS/angry\OAF_food_angry.wav,angry
44,dataset/TESS/angry\OAF_gap_angry.wav,angry
45,dataset/TESS/angry\OAF_gas_angry.wav,angry
46,dataset/TESS/angry\OAF_gaze_angry.wav,angry
47,dataset/TESS/angry\OAF_germ_angry.wav,angry
48,dataset/TESS/angry\OAF_get_angry.wav,angry
49,dataset/TESS/angry\OAF_gin_angry.wav,angry
50,dataset/TESS/angry\OAF_goal_angry.wav,angry
51,dataset/TESS/angry\OAF_good_angry.wav,angry
52,dataset/TESS/angry\OAF_goose_angry.wav,angry
53,dataset/TESS/angry\OAF_gun_angry.wav,angry
54,dataset/TESS/angry\OAF_half_angry.wav,angry
55,dataset/TESS/angry\OAF_hall_angry.wav,angry
56,dataset/TESS/angry\OAF_hash_angry.wav,angry
57,dataset/TESS/angry\OAF_hate_angry.wav,angry
58,dataset/TESS/angry\OAF_have_angry.wav,angry
59,dataset/TESS/angry\OAF_haze_angry.wav,angry
60,dataset/TESS/angry\OAF_hire_angry.wav,angry
61,dataset/TESS/angry\OAF_hit_angry.wav,angry
62,dataset/TESS/angry\OAF_hole_angry.wav,angry
63,dataset/TESS/angry\OAF_home_angry.wav,angry
64,dataset/TESS/angry\OAF_hurl_angry.wav,angry
65,dataset/TESS/angry\OAF_hush_angry.wav,angry
66,dataset/TESS/angry\OAF_jail_angry.wav,angry
67,dataset/TESS/angry\OAF_jar_angry.wav,angry
68,dataset/TESS/angry\OAF_join_angry.wav,angry
69,dataset/TESS/angry\OAF_judge_angry.wav,angry
70,dataset/TESS/angry\OAF_jug_angry.wav,angry
71,dataset/TESS/angry\OAF_juice_angry.wav,angry
72,dataset/TESS/angry\OAF_keen_angry.wav,angry
73,dataset/TESS/angry\OAF_keep_angry.wav,angry
74,dataset/TESS/angry\OAF_keg_angry.wav,angry
75,dataset/TESS/angry\OAF_kick_angry.wav,angry
76,dataset/TESS/angry\OAF_kill_angry.wav,angry
77,dataset/TESS/angry\OAF_king_angry.wav,angry
78,dataset/TESS/angry\OAF_kite_angry.wav,angry
79,dataset/TESS/angry\OAF_knock_angry.wav,angry
80,dataset/TESS/angry\OAF_late_angry.wav,angry
81,dataset/TESS/angry\OAF_laud_angry.wav,angry
82,dataset/TESS/angry\OAF_lean_angry.wav,angry
83,dataset/TESS/angry\OAF_learn_angry.wav,angry
84,dataset/TESS/angry\OAF_lease_angry.wav,angry
85,dataset/TESS/angry\OAF_lid_angry.wav,angry
86,dataset/TESS/angry\OAF_life_angry.wav,angry
87,dataset/TESS/angry\OAF_limb_angry.wav,angry
88,dataset/TESS/angry\OAF_live_angry.wav,angry
89,dataset/TESS/angry\OAF_loaf_angry.wav,angry
90,dataset/TESS/angry\OAF_long_angry.wav,angry
91,dataset/TESS/angry\OAF_lore_angry.wav,angry
92,dataset/TESS/angry\OAF_lose_angry.wav,angry
93,dataset/TESS/angry\OAF_lot_angry.wav,angry
94,dataset/TESS/angry\OAF_love_angry.wav,angry
95,dataset/TESS/angry\OAF_luck_angry.wav,angry
96,dataset/TESS/angry\OAF_make_angry.wav,angry
97,dataset/TESS/angry\OAF_match_angry.wav,angry
98,dataset/TESS/angry\OAF_merge_angry.wav,angry
99,dataset/TESS/angry\OAF_mess_angry.wav,angry
100,dataset/TESS/angry\OAF_met_angry.wav,angry
101,dataset/TESS/angry\OAF_mill_angry.wav,angry
102,dataset/TESS/angry\OAF_mob_angry.wav,angry
103,dataset/TESS/angry\OAF_mode_angry.wav,angry
104,dataset/TESS/angry\OAF_mood_angry.wav,angry
105,dataset/TESS/angry\OAF_moon_angry.wav,angry
106,dataset/TESS/angry\OAF_mop_angry.wav,angry
107,dataset/TESS/angry\OAF_mouse_angry.wav,angry
108,dataset/TESS/angry\OAF_nag_angry.wav,angry
109,dataset/TESS/angry\OAF_name_angry.wav,angry
110,dataset/TESS/angry\OAF_near_angry.wav,angry
111,dataset/TESS/angry\OAF_neat_angry.wav,angry
112,dataset/TESS/angry\OAF_nice_angry.wav,angry
113,dataset/TESS/angry\OAF_note_angry.wav,angry
114,dataset/TESS/angry\OAF_numb_angry.wav,angry
115,dataset/TESS/angry\OAF_pad_angry.wav,angry
116,dataset/TESS/angry\OAF_page_angry.wav,angry
117,dataset/TESS/angry\OAF_pain_angry.wav,angry
118,dataset/TESS/angry\OAF_pass_angry.wav,angry
119,dataset/TESS/angry\OAF_pearl_angry.wav,angry
120,dataset/TESS/angry\OAF_peg_angry.wav,angry
121,dataset/TESS/angry\OAF_perch_angry.wav,angry
122,dataset/TESS/angry\OAF_phone_angry.wav,angry
123,dataset/TESS/angry\OAF_pick_angry.wav,angry
124,dataset/TESS/angry\OAF_pike_angry.wav,angry
125,dataset/TESS/angry\OAF_pole_angry.wav,angry
126,dataset/TESS/angry\OAF_pool_angry.wav,angry
127,dataset/TESS/angry\OAF_puff_angry.wav,angry
128,dataset/TESS/angry\OAF_rag_angry.wav,angry
129,dataset/TESS/angry\OAF_raid_angry.wav,angry
130,dataset/TESS/angry\OAF_rain_angry.wav,angry
131,dataset/TESS/angry\OAF_raise_angry.wav,angry
132,dataset/TESS/angry\OAF_rat_angry.wav,angry
133,dataset/TESS/angry\OAF_reach_angry.wav,angry
134,dataset/TESS/angry\OAF_read_angry.wav,angry
135,dataset/TESS/angry\OAF_red_angry.wav,angry
136,dataset/TESS/angry\OAF_ring_angry.wav,angry
137,dataset/TESS/angry\OAF_ripe_angry.wav,angry
138,dataset/TESS/angry\OAF_road_angry.wav,angry
139,dataset/TESS/angry\OAF_room_angry.wav,angry
140,dataset/TESS/angry\OAF_rose_angry.wav,angry
141,dataset/TESS/angry\OAF_rot_angry.wav,angry
142,dataset/TESS/angry\OAF_rough_angry.wav,angry
143,dataset/TESS/angry\OAF_rush_angry.wav,angry
144,dataset/TESS/angry\OAF_said_angry.wav,angry
145,dataset/TESS/angry\OAF_sail_angry.wav,angry
146,dataset/TESS/angry\OAF_search_angry.wav,angry
147,dataset/TESS/angry\OAF_seize_angry.wav,angry
148,dataset/TESS/angry\OAF_sell_angry.wav,angry
149,dataset/TESS/angry\OAF_shack_angry.wav,angry
150,dataset/TESS/angry\OAF_shall_angry.wav,angry
151,dataset/TESS/angry\OAF_shawl_angry.wav,angry
152,dataset/TESS/angry\OAF_sheep_angry.wav,angry
153,dataset/TESS/angry\OAF_shirt_angry.wav,angry
154,dataset/TESS/angry\OAF_should_angry.wav,angry
155,dataset/TESS/angry\OAF_shout_angry.wav,angry
156,dataset/TESS/angry\OAF_size_angry.wav,angry
157,dataset/TESS/angry\OAF_soap_angry.wav,angry
158,dataset/TESS/angry\OAF_soup_angry.wav,angry
159,dataset/TESS/angry\OAF_sour_angry.wav,angry
160,dataset/TESS/angry\OAF_south_angry.wav,angry
161,dataset/TESS/angry\OAF_sub_angry.wav,angry
162,dataset/TESS/angry\OAF_such_angry.wav,angry
163,dataset/TESS/angry\OAF_sure_angry.wav,angry
164,dataset/TESS/angry\OAF_take_angry.wav,angry
165,dataset/TESS/angry\OAF_talk_angry.wav,angry
166,dataset/TESS/angry\OAF_tape_angry.wav,angry
167,dataset/TESS/angry\OAF_team_angry.wav,angry
168,dataset/TESS/angry\OAF_tell_angry.wav,angry
169,dataset/TESS/angry\OAF_thin_angry.wav,angry
170,dataset/TESS/angry\OAF_third_angry.wav,angry
171,dataset/TESS/angry\OAF_thought_angry.wav,angry
172,dataset/TESS/angry\OAF_thumb_angry.wav,angry
173,dataset/TESS/angry\OAF_time_angry.wav,angry
174,dataset/TESS/angry\OAF_tip_angry.wav,angry
175,dataset/TESS/angry\OAF_tire_angry.wav,angry
176,dataset/TESS/angry\OAF_ton_angry.wav,angry
177,dataset/TESS/angry\OAF_tool_angry.wav,angry
178,dataset/TESS/angry\OAF_tough_angry.wav,angry
179,dataset/TESS/angry\OAF_turn_angry.wav,angry
180,dataset/TESS/angry\OAF_vine_angry.wav,angry
181,dataset/TESS/angry\OAF_voice_angry.wav,angry
182,dataset/TESS/angry\OAF_void_angry.wav,angry
183,dataset/TESS/angry\OAF_vote_angry.wav,angry
184,dataset/TESS/angry\OAF_wag_angry.wav,angry
185,dataset/TESS/angry\OAF_walk_angry.wav,angry
186,dataset/TESS/angry\OAF_wash_angry.wav,angry
187,dataset/TESS/angry\OAF_week_angry.wav,angry
188,dataset/TESS/angry\OAF_wheat_angry.wav,angry
189,dataset/TESS/angry\OAF_when_angry.wav,angry
