iter	Passed	Remaining
0	22817	22794940
1	31846	15891228
2	36475	12121965
3	40877	10178586
4	46234	9200717
5	50746	8406934
6	55145	7822729
7	60125	7455520
8	65932	7259898
9	70402	6969871
10	74411	6690283
11	78935	6499016
12	83942	6373209
13	88052	6201445
14	93487	6139009
15	99780	6136499
16	104682	6053096
17	109951	5998469
18	114300	5901519
19	118372	5800272
20	122587	5714915
21	127051	5648016
22	131233	5574575
23	135786	5521969
24	139751	5450313
25	144145	5399897
26	148371	5346852
27	152552	5295759
28	156764	5248917
29	161370	5217644
30	165827	5183452
31	170320	5152200
32	174785	5121733
33	179484	5099461
34	184602	5089743
35	190110	5090727
36	194228	5055193
37	198557	5026648
38	203269	5008766
39	207779	4986699
40	212038	4959624
41	217885	4969855
42	222738	4957225
43	227719	4947724
44	229141	4862889
45	230470	4779749
46	231694	4697973
47	233813	4637291
48	239192	4642283
49	244173	4639296
50	248900	4631506
51	253391	4619520
52	257798	4606316
53	263211	4611070
54	269290	4626892
55	273821	4615845
56	278069	4600344
57	282482	4587911
58	287420	4584110
59	291944	4573801
60	296301	4561104
61	300558	4547157
62	304501	4528858
63	309181	4521774
64	313885	4515119
65	318430	4506277
66	322772	4494733
67	327067	4482754
68	331667	4475102
69	336016	4464222
70	340281	4452420
71	344642	4442057
72	348891	4430443
73	353467	4423124
74	357663	4411187
75	361905	4400003
76	366323	4391125
77	370834	4383450
78	375393	4376417
79	379826	4368007
80	384046	4357268
81	388092	4344746
82	393278	4345021
83	399262	4353857
84	401175	4318531
85	402878	4281757
86	404542	4245374
87	406008	4207725
88	407235	4168443
89	408439	4129775
90	409700	4092505
91	410932	4055726
92	412040	4018502
93	413361	3984102
94	414705	3950613
95	415989	3917232
96	417346	3885196
97	418607	3852901
98	419746	3820113
99	420997	3788974
100	422272	3758645
101	423603	3729373
102	424822	3699666
103	426170	3671627
104	427493	3643874
105	428753	3616088
106	430019	3588850
107	431406	3563097
108	432987	3539377
109	434298	3513870
110	435614	3488840
111	436907	3464051
112	438110	3438971
113	439490	3415688
114	441089	3394470
115	442506	3372207
116	443790	3349293
117	444966	3325938
118	446221	3303538
119	447594	3282357
