,path,emotion
0,dataset/custom_arabic/happy\hamed1_happy.wav,happy
1,dataset/custom_arabic/happy\hamed2_happy.wav,happy
2,dataset/custom_arabic/happy\hamed3_happy.wav,happy
3,dataset/custom_arabic/happy\hamed4_happy.wav,happy
4,dataset/custom_arabic/happy\hamed5_happy.wav,happy
5,dataset/custom_arabic/happy\hamed6_happy.wav,happy
6,dataset/custom_arabic/happy\hamed7_happy.wav,happy
7,dataset/custom_arabic/happy\hamed8_happy.wav,happy
8,dataset/custom_arabic/happy\hamed9_happy.wav,happy
9,dataset/custom_arabic/happy\hamedA_happy.wav,happy
10,dataset/custom_arabic/happy\hamedB_happy.wav,happy
11,dataset/custom_arabic/happy\hamedC_happy.wav,happy
12,dataset/custom_arabic/happy\nadjib1_happy.wav,happy
13,dataset/custom_arabic/happy\nadjib2_happy.wav,happy
14,dataset/custom_arabic/happy\nadjib3_happy.wav,happy
15,dataset/custom_arabic/happy\nadjib4_happy.wav,happy
16,dataset/custom_arabic/happy\nadjib5_happy.wav,happy
17,dataset/custom_arabic/happy\nadjib6_happy.wav,happy
18,dataset/custom_arabic/happy\nadjib7_happy.wav,happy
19,dataset/custom_arabic/happy\nadjib8_happy.wav,happy
20,dataset/custom_arabic/happy\nadjib9_happy.wav,happy
21,dataset/custom_arabic/happy\nadjibA_happy.wav,happy
22,dataset/custom_arabic/happy\nadjibB_happy.wav,happy
23,dataset/custom_arabic/happy\nadjibC_happy.wav,happy
24,dataset/custom_arabic/happy\oumaima1_happy.wav,happy
25,dataset/custom_arabic/happy\oumaima2_happy.wav,happy
26,dataset/custom_arabic/happy\oumaima3_happy.wav,happy
27,dataset/custom_arabic/happy\oumaima4_happy.wav,happy
28,dataset/custom_arabic/happy\oumaima5_happy.wav,happy
29,dataset/custom_arabic/happy\oumaima6_happy.wav,happy
30,dataset/custom_arabic/happy\oumaima7_happy.wav,happy
31,dataset/custom_arabic/happy\oumaima8_happy.wav,happy
32,dataset/custom_arabic/happy\oumaima9_happy.wav,happy
33,dataset/custom_arabic/happy\oumaimaA_happy.wav,happy
34,dataset/custom_arabic/happy\oumaimaB_happy.wav,happy
35,dataset/custom_arabic/happy\oumaimaC_happy.wav,happy
36,dataset/custom_arabic/happy\rockikz1_happy.wav,happy
37,dataset/custom_arabic/happy\rockikz2_happy.wav,happy
38,dataset/custom_arabic/happy\rockikz3_happy.wav,happy
39,dataset/custom_arabic/happy\rockikz4_happy.wav,happy
40,dataset/custom_arabic/happy\rockikz5_happy.wav,happy
41,dataset/custom_arabic/happy\rockikz6_happy.wav,happy
42,dataset/custom_arabic/happy\rockikz7_happy.wav,happy
43,dataset/custom_arabic/happy\rockikz8_happy.wav,happy
44,dataset/custom_arabic/happy\rockikz9_happy.wav,happy
45,dataset/custom_arabic/happy\rockikzA_happy.wav,happy
46,dataset/custom_arabic/happy\rockikzB_happy.wav,happy
47,dataset/custom_arabic/happy\rockikzC_happy.wav,happy
48,dataset/custom_arabic/happy\soumaya1_happy.wav,happy
49,dataset/custom_arabic/happy\soumaya2_happy.wav,happy
50,dataset/custom_arabic/happy\soumaya3_happy.wav,happy
51,dataset/custom_arabic/happy\soumaya4_happy.wav,happy
52,dataset/custom_arabic/happy\soumaya5_happy.wav,happy
53,dataset/custom_arabic/happy\soumaya6_happy.wav,happy
54,dataset/custom_arabic/happy\soumaya7_happy.wav,happy
55,dataset/custom_arabic/happy\soumaya8_happy.wav,happy
56,dataset/custom_arabic/happy\soumaya9_happy.wav,happy
57,dataset/custom_arabic/happy\soumayaA_happy.wav,happy
58,dataset/custom_arabic/happy\soumayaB_happy.wav,happy
