,path,emotion
0,dataset/emo-db/angry\03a01Wa.wav,angry
1,dataset/emo-db/angry\03a02Wb.wav,angry
2,dataset/emo-db/angry\03a02Wc.wav,angry
3,dataset/emo-db/angry\03a04Wc.wav,angry
4,dataset/emo-db/angry\03a05Wa.wav,angry
5,dataset/emo-db/angry\03a05Wb.wav,angry
6,dataset/emo-db/angry\03a07Wc.wav,angry
7,dataset/emo-db/angry\03b01Wa.wav,angry
8,dataset/emo-db/angry\03b01Wc.wav,angry
9,dataset/emo-db/angry\03b02Wb.wav,angry
10,dataset/emo-db/angry\03b03Wc.wav,angry
11,dataset/emo-db/angry\03b09Wa.wav,angry
12,dataset/emo-db/angry\03b10Wb.wav,angry
13,dataset/emo-db/angry\03b10Wc.wav,angry
14,dataset/emo-db/angry\08a01Wa.wav,angry
15,dataset/emo-db/angry\08a01Wc.wav,angry
16,dataset/emo-db/angry\08a02Wc.wav,angry
17,dataset/emo-db/angry\08a04Wc.wav,angry
18,dataset/emo-db/angry\08a05Wa.wav,angry
19,dataset/emo-db/angry\08a07Wc.wav,angry
20,dataset/emo-db/angry\08b01Wa.wav,angry
21,dataset/emo-db/angry\08b02Wd.wav,angry
22,dataset/emo-db/angry\08b03Wd.wav,angry
23,dataset/emo-db/angry\08b09Wa.wav,angry
24,dataset/emo-db/angry\08b09Wc.wav,angry
25,dataset/emo-db/angry\08b10Wa.wav,angry
26,dataset/emo-db/angry\09a01Wb.wav,angry
27,dataset/emo-db/angry\09a02Wb.wav,angry
28,dataset/emo-db/angry\09a04Wa.wav,angry
29,dataset/emo-db/angry\09a05Wb.wav,angry
30,dataset/emo-db/angry\09a05Wc.wav,angry
31,dataset/emo-db/angry\09a07Wb.wav,angry
32,dataset/emo-db/angry\09a07Wd.wav,angry
33,dataset/emo-db/angry\09b01Wb.wav,angry
34,dataset/emo-db/angry\09b02Wc.wav,angry
35,dataset/emo-db/angry\09b02Wd.wav,angry
36,dataset/emo-db/angry\09b03Wb.wav,angry
37,dataset/emo-db/angry\09b09Wa.wav,angry
38,dataset/emo-db/angry\09b10Wa.wav,angry
39,dataset/emo-db/angry\10a01Wa.wav,angry
40,dataset/emo-db/angry\10a02Wa.wav,angry
41,dataset/emo-db/angry\10a04Wa.wav,angry
42,dataset/emo-db/angry\10a04Wb.wav,angry
43,dataset/emo-db/angry\10a05Wb.wav,angry
44,dataset/emo-db/angry\10a07Wb.wav,angry
45,dataset/emo-db/angry\10b02Wb.wav,angry
46,dataset/emo-db/angry\10b03Wb.wav,angry
47,dataset/emo-db/angry\10b09Wb.wav,angry
48,dataset/emo-db/angry\10b10Wa.wav,angry
49,dataset/emo-db/angry\11a01Wc.wav,angry
50,dataset/emo-db/angry\11a02Wc.wav,angry
51,dataset/emo-db/angry\11a04Wc.wav,angry
52,dataset/emo-db/angry\11a05Wd.wav,angry
53,dataset/emo-db/angry\11a07Wc.wav,angry
54,dataset/emo-db/angry\11b01Wd.wav,angry
55,dataset/emo-db/angry\11b02Wb.wav,angry
56,dataset/emo-db/angry\11b03Wa.wav,angry
57,dataset/emo-db/angry\11b03Wb.wav,angry
58,dataset/emo-db/angry\11b09Wa.wav,angry
59,dataset/emo-db/angry\11b10Wa.wav,angry
60,dataset/emo-db/angry\12a01Wc.wav,angry
61,dataset/emo-db/angry\12a02Wa.wav,angry
62,dataset/emo-db/angry\12a02Wc.wav,angry
63,dataset/emo-db/angry\12a04Wc.wav,angry
64,dataset/emo-db/angry\12a05Wb.wav,angry
65,dataset/emo-db/angry\12a07Wa.wav,angry
66,dataset/emo-db/angry\12b01Wa.wav,angry
67,dataset/emo-db/angry\12b02Wa.wav,angry
68,dataset/emo-db/angry\12b02Wb.wav,angry
69,dataset/emo-db/angry\12b02Wd.wav,angry
70,dataset/emo-db/angry\12b09Wc.wav,angry
71,dataset/emo-db/angry\12b10Wa.wav,angry
72,dataset/emo-db/angry\13a01Wb.wav,angry
73,dataset/emo-db/angry\13a02Wa.wav,angry
