,path,emotion
0,dataset/private_dataset/angry\1687021517_after_reduce_noise_8001971281.wav,angry
1,dataset/private_dataset/angry\1687021519_after_reduce_noise_4436917591.wav,angry
2,dataset/private_dataset/angry\1687021525_after_reduce_noise_3195765549.wav,angry
3,dataset/private_dataset/angry\1687021525_after_reduce_noise_520973032.wav,angry
4,dataset/private_dataset/angry\1687021527_after_reduce_noise_335409967.wav,angry
5,dataset/private_dataset/angry\1687021527_after_reduce_noise_3918682950.wav,angry
6,dataset/private_dataset/angry\1687021531_after_reduce_noise_8962777412.wav,angry
7,dataset/private_dataset/angry\1687021533_after_reduce_noise_8131250672.wav,angry
8,dataset/private_dataset/angry\1687021534_after_reduce_noise_5537708592.wav,angry
9,dataset/private_dataset/angry\1687021540_after_reduce_noise_8610862579.wav,angry
10,dataset/private_dataset/angry\1687021542_after_reduce_noise_3026923696.wav,angry
11,dataset/private_dataset/angry\1687021543_after_reduce_noise_8036389443.wav,angry
12,dataset/private_dataset/angry\1687021544_after_reduce_noise_6996775500.wav,angry
13,dataset/private_dataset/angry\1687021546_after_reduce_noise_4718253730.wav,angry
14,dataset/private_dataset/angry\1687021548_after_reduce_noise_9422906475.wav,angry
15,dataset/private_dataset/disgust\1687021691_after_reduce_noise_3117962854.wav,disgust
16,dataset/private_dataset/happy\1687021741_after_reduce_noise_8674806117.wav,happy
17,dataset/private_dataset/happy\1687021743_after_reduce_noise_5058133497.wav,happy
18,dataset/private_dataset/happy\1687021746_after_reduce_noise_8098587820.wav,happy
19,dataset/private_dataset/happy\1687021748_after_reduce_noise_4071902688.wav,happy
20,dataset/private_dataset/happy\1687021750_after_reduce_noise_6689124924.wav,happy
21,dataset/private_dataset/happy\1687021753_after_reduce_noise_5621730933.wav,happy
22,dataset/private_dataset/happy\1687021755_after_reduce_noise_4983619866.wav,happy
23,dataset/private_dataset/happy\1687021758_after_reduce_noise_8382570656.wav,happy
24,dataset/private_dataset/happy\1687021760_after_reduce_noise_8151030679.wav,happy
25,dataset/private_dataset/happy\1687021762_after_reduce_noise_3917700499.wav,happy
26,dataset/private_dataset/happy\1687021767_after_reduce_noise_7509618213.wav,happy
27,dataset/private_dataset/happy\1687021768_after_reduce_noise_2470696191.wav,happy
28,dataset/private_dataset/happy\1687021770_after_reduce_noise_6566914293.wav,happy
29,dataset/private_dataset/happy\1687021772_after_reduce_noise_8474701107.wav,happy
30,dataset/private_dataset/happy\1687021776_after_reduce_noise_8032472319.wav,happy
31,dataset/private_dataset/happy\1687021780_after_reduce_noise_3556416426.wav,happy
32,dataset/private_dataset/happy\1687021781_after_reduce_noise_7998740694.wav,happy
33,dataset/private_dataset/happy\1687021784_after_reduce_noise_7884804443.wav,happy
34,dataset/private_dataset/neutral\1687021838_after_reduce_noise_3418562877.wav,neutral
35,dataset/private_dataset/neutral\1687021840_after_reduce_noise_6004388704.wav,neutral
36,dataset/private_dataset/neutral\1687021844_after_reduce_noise_3089160694.wav,neutral
37,dataset/private_dataset/neutral\1687021847_after_reduce_noise_8670863603.wav,neutral
38,dataset/private_dataset/neutral\1687021848_after_reduce_noise_3210347355.wav,neutral
39,dataset/private_dataset/neutral\1687021850_after_reduce_noise_7106819317.wav,neutral
40,dataset/private_dataset/neutral\1687021853_after_reduce_noise_7943443525.wav,neutral
41,dataset/private_dataset/neutral\1687021855_after_reduce_noise_7220070729.wav,neutral
42,dataset/private_dataset/neutral\1687021856_after_reduce_noise_2075926966.wav,neutral
43,dataset/private_dataset/neutral\1687021859_after_reduce_noise_7223186245.wav,neutral
44,dataset/private_dataset/neutral\1687021861_after_reduce_noise_7674927462.wav,neutral
45,dataset/private_dataset/neutral\1687021866_after_reduce_noise_7850874968.wav,neutral
46,dataset/private_dataset/neutral\1687021868_after_reduce_noise_6114832594.wav,neutral
47,dataset/private_dataset/neutral\1687021872_after_reduce_noise_757986077.wav,neutral
48,dataset/private_dataset/ps\1687021917_after_reduce_noise_3353179825.wav,ps
49,dataset/private_dataset/sad\1687021953_after_reduce_noise_270290394.wav,sad
50,dataset/private_dataset/sad\1687021956_after_reduce_noise_9669994343.wav,sad
51,dataset/private_dataset/sad\1687021960_after_reduce_noise_477158500.wav,sad
52,dataset/private_dataset/sad\1687021964_after_reduce_noise_5180991196.wav,sad
53,dataset/private_dataset/sad\1687021968_after_reduce_noise_6142808493.wav,sad
54,dataset/private_dataset/sad\1687021976_after_reduce_noise_9396683910.wav,sad
55,dataset/private_dataset/sad\1687021980_after_reduce_noise_8794165935.wav,sad
56,dataset/private_dataset/sad\1687021982_after_reduce_noise_2555800902.wav,sad
57,dataset/private_dataset/sad\1687021991_after_reduce_noise_5107302510.wav,sad
58,dataset/private_dataset/sad\1687021992_after_reduce_noise_9830876231.wav,sad
59,dataset/private_dataset/sad\1687021995_after_reduce_noise_4289286169.wav,sad
60,dataset/private_dataset/sad\1687022000_after_reduce_noise_3930577031.wav,sad
