,path,emotion
0,dataset/tess_ravdess/angry\01_01_01_01_kids-talking_angry.wav,angry
1,dataset/tess_ravdess/angry\01_01_01_02_dogs-sitting_angry.wav,angry
2,dataset/tess_ravdess/angry\01_01_01_02_kids-talking_angry.wav,angry
3,dataset/tess_ravdess/angry\01_01_02_01_dogs-sitting_angry.wav,angry
4,dataset/tess_ravdess/angry\01_01_02_01_kids-talking_angry.wav,angry
5,dataset/tess_ravdess/angry\01_01_02_02_dogs-sitting_angry.wav,angry
6,dataset/tess_ravdess/angry\01_01_02_02_kids-talking_angry.wav,angry
7,dataset/tess_ravdess/angry\01_02_01_01_dogs-sitting_angry.wav,angry
8,dataset/tess_ravdess/angry\01_02_01_01_kids-talking_angry.wav,angry
9,dataset/tess_ravdess/angry\01_02_01_02_dogs-sitting_angry.wav,angry
10,dataset/tess_ravdess/angry\01_02_01_02_kids-talking_angry.wav,angry
11,dataset/tess_ravdess/angry\01_02_02_01_dogs-sitting_angry.wav,angry
12,dataset/tess_ravdess/angry\01_02_02_01_kids-talking_angry.wav,angry
13,dataset/tess_ravdess/angry\01_02_02_02_dogs-sitting_angry.wav,angry
14,dataset/tess_ravdess/angry\01_02_02_02_kids-talking_angry.wav,angry
15,dataset/tess_ravdess/angry\02_01_01_02_dogs-sitting_angry.wav,angry
16,dataset/tess_ravdess/angry\02_01_01_02_kids-talking_angry.wav,angry
17,dataset/tess_ravdess/angry\02_01_02_01_dogs-sitting_angry.wav,angry
18,dataset/tess_ravdess/angry\02_01_02_01_kids-talking_angry.wav,angry
19,dataset/tess_ravdess/angry\02_01_02_02_dogs-sitting_angry.wav,angry
20,dataset/tess_ravdess/angry\02_01_02_02_kids-talking_angry.wav,angry
21,dataset/tess_ravdess/angry\02_02_01_01_dogs-sitting_angry.wav,angry
22,dataset/tess_ravdess/angry\02_02_01_01_kids-talking_angry.wav,angry
23,dataset/tess_ravdess/angry\02_02_01_02_dogs-sitting_angry.wav,angry
24,dataset/tess_ravdess/angry\02_02_01_02_kids-talking_angry.wav,angry
25,dataset/tess_ravdess/angry\02_02_02_01_dogs-sitting_angry.wav,angry
26,dataset/tess_ravdess/angry\02_02_02_01_kids-talking_angry.wav,angry
27,dataset/tess_ravdess/angry\02_02_02_02_dogs-sitting_angry.wav,angry
28,dataset/tess_ravdess/angry\02_02_02_02_kids-talking_angry.wav,angry
29,dataset/tess_ravdess/angry\03-02-05-01-01-01-01_angry.wav,angry
30,dataset/tess_ravdess/angry\03-02-05-01-01-01-02_angry.wav,angry
31,dataset/tess_ravdess/angry\03-02-05-01-01-01-03_angry.wav,angry
32,dataset/tess_ravdess/angry\03-02-05-01-01-01-04_angry.wav,angry
33,dataset/tess_ravdess/angry\03-02-05-01-01-01-05_angry.wav,angry
34,dataset/tess_ravdess/angry\03-02-05-01-01-01-06_angry.wav,angry
35,dataset/tess_ravdess/angry\03-02-05-01-01-01-07_angry.wav,angry
36,dataset/tess_ravdess/angry\03-02-05-01-01-01-08_angry.wav,angry
37,dataset/tess_ravdess/angry\03-02-05-01-01-01-09_angry.wav,angry
38,dataset/tess_ravdess/angry\03-02-05-01-01-01-10_angry.wav,angry
39,dataset/tess_ravdess/angry\03-02-05-01-01-01-11_angry.wav,angry
40,dataset/tess_ravdess/angry\03-02-05-01-01-01-12_angry.wav,angry
41,dataset/tess_ravdess/angry\03-02-05-01-01-01-13_angry.wav,angry
42,dataset/tess_ravdess/angry\03-02-05-01-01-01-14_angry.wav,angry
43,dataset/tess_ravdess/angry\03-02-05-01-01-01-15_angry.wav,angry
44,dataset/tess_ravdess/angry\03-02-05-01-01-01-16_angry.wav,angry
45,dataset/tess_ravdess/angry\03-02-05-01-01-01-17_angry.wav,angry
46,dataset/tess_ravdess/angry\03-02-05-01-01-01-19_angry.wav,angry
